code|cmp_size|name|cmp_cnt|cmp_sales|cmp_date|tel|addr|avg_sal
1|9|(주)비트|48|360000|20160329|03-6459-2455|5-B, Mezonyutaka Bld., 1-17-7, Okubo, Shinjuku-ku, Tokyo, 169-0072, Japan|5500
2|9|NSIL SYSTEMS S DE RL DE CV|4|NULL|20191111|NULL|Rafael Maerinez 213 edificio 2 seccion 3, la encarnacion, apodaca, N.L. 66633|5000
3|9|㈜알라딘글로벌알앤디센터|25|NULL|20171214|NULL|Buyaladdin.com, INC. 3435 Wilshire Blvd, 14th Floor C14, Los Angeles, CA, 90010|5000
4|9|㈜넥스쳐|30|200000|20110309|03-5577-5635|도쿄도 치요다 구 칸다 도야마 쵸 22|3500
5|9|한국마이크로소프트(유)|491|13650000|19880916|NULL|서울 강남구|13337
6|9|㈜하미글로벌|102|4220000|20111001|02-757-7343|서울 금천구|4500
7|9|트럼피아(주)|35|474555|20120613|1-888-707-3030|서울 강남구|4144
8|9|가나시스㈜|25|100000|20060731|03-6454-0461|도쿄도 나카노 구 아라이 5-29-1 세이부 신용 금고 아라이 약사 빌딩 502 호|4700
9|9|피너툰|18|100000|20180601|02-511-6267|서울 서초구|3301
10|9|NAVER China|800|NULL|20041021|NULL|NULL|5300
11|3|카카오뱅크|786|66494029|20160122|02-6288-6000|경기 성남시|4699 
12|3|라인게임즈|320|2068631|20121011|02-1661-4467|서울 서초구|4699
13|3|KT NexR|76|1240326|20070131|02-588-7314|서울 서초구|5011
14|3|SK 인포섹|1503|27042317|20000626|02-6361-9114|경기 성남시|4418
15|3|네오플|785|113968880|20010402|064-903-1511|제주 제주시|5848
16|3|농협은행|16875|1310999200|20120302|02-2080-5114|서울 중구|6290
17|3|효성ITX|7008|37806884|19970509|02-2102-8400|서울 영등포구|2995
18|3|쿠팡|6372|714072000|20130215|1577-7011|서울 송파구|2748
19|3|ADT캡스|4783|74479660|19710122|1588-6400|서울 강남구|4610
20|3|야나두|63|399702|20080708|1600-0563|서울 강남구|4767
21|2|사람인HR(주)|1300|287000|20160502|02-2025-2987|서울 구로구|4315
22|2|중앙일보(주)|652|35933000|19650317|1588-3600|서울 중구|8122
23|2|하나금융TI(주)|911|1962000|19900830|NULL|인천 서구|5013
24|2|넷마블넥서스(주)|386|165400|20130117|02-2271-7777|서울 구로구|4946
25|2|코나아이(주)|356|12449000|19980311|02-2168-7500|서울 영등포구|4566
26|2|위메프(주)|1892|46534000|20180913|1588-4763|서울 강남구|4250
27|2|케이지이니시스(주)|216|95610200|19981103|1588-4954|서울 중구|4316
28|2|샘표|680|28102300|19711209|02-3393-5500|서울 중구|4992
29|2|mbc플레이비(주)|691|4151000|20080925|NULL|서울 송파구|2916
30|2|제오젠(주)|23|406000|20000320|02-3218-3500|서울 강남구|4214
31|1|유노위스|60|493000|20001002|02-538-6202|서울 강남구|1948
32|1|오직(주)|12|100000|20080325|1599-0657|서울 금천구|3288
33|1|바이오센서연구소|18|305760|20130605|02-534-5239|서울 관악구|3000
34|1|비에프솔루션|9|200000|20141017|02-830-8830|서울 금천구|4317
35|1|윈즈시스템|38|919584|20010713|031-8092-3700|경기 성남시|4196
36|1|맑은기술(주)|23|639583|20010917|02-2081-1394|서울 구로구|3596
37|1|오앤에이크리에이션(주)|7|69206|20160118|02-3445-5454|서울 강남구|3200
38|1|트래포트(주)|22|207000|20081002|1644-8668|서울 금천구|2842
39|1|여기어때컴퍼니|400|10000000|20150923|02-6745-9065|서울 강남구|4466
40|1|템퍼스(주)|27|46000|20120907|02-944-6513|서울 노원구|3200
41|1|센티널테크놀로지(주)|11|98290|20001121|02-525-5398|서울 마포구|3267
42|1|제이비티(주)|39|236791|20050128|1544-8029|서울 강남구|4218
43|1|열린기술(주)|130|1211370|19980123|02-555-7033|서울 강남구|4737
44|1|오픈메이트(주)|73|639117|20020219|02-395-7541|서울 서대문구|4439
45|1|파인디지털(주)|149|7880000|19921020|031-788-8800|경기 성남시|3570
46|1|하이앤씨아이티㈜|5|64292|20060719|070-4607-3939|서울 강서구|4196
47|1|비아이매트릭스(주)|97|1500000|20050402|02-561-4475|서울 강남구|5189
48|1|킹스정보통신(주)|39|380972|19990611|1544-1014|경기 하남시|3346
49|1|트위니(주)|38|131780|20150827|070-5057-0625|충남 대전시|2912
50|1|오로라월드(주)|145|9221000|19850925|02-3420-4114|서울 강남구|3872
51|3|현대정보기술|230|67333000|20120203|1577-1211|충남 천안시|5100
52|3|포스데이타|320|5745555|19980402|053-444-2123|경북 대구시|4840
53|3|대우정보시스템|511|2422000|19880128|051-523-1232|경남 부산시|3830
